address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-14 18:49:23,0x7a16ff8270133f063aab6c9977183d9e72835428,929933909709140155529,1000000000000000000000000,40,49,60000000000000000,0xcac35a9c033ea94fa885060c2fcce68ac17574250cc60da0680b757000464dbf
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-14 20:00:47,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,4950000000000000000,5000000000000000000000,44,58,60000000000000000,0xf5cc3b8d70eb97313916d62acdb7936b4996d8c8d43020de140418a93f1d6ed0
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-15 09:30:47,0x7a16ff8270133f063aab6c9977183d9e72835428,929933909709140155529,1522177275477716067202304,-1,8,60000000000000000,0x364382c084cfb2c557809367a123de63cf794f144fd52cbb8e1f409249d833d4
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-15 17:38:35,0x7a16ff8270133f063aab6c9977183d9e72835428,929933909709140155529,1537711899188505330143304,-2,7,60000000000000000,0x0e15f4dd52c51389702d40b2d8e877487a4820379560bdc65036321eb8887163
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-15 21:25:59,0x5180db0237291a6449dda9ed33ad90a38787621c,3800000000000000000,2000000000000000000000,111,120,60000000000000000,0xeb0806212d102c3c25fa4c864a3c9d3835d92bc45f7dfb02b6b7175f01548af2
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-16 10:32:59,0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,52719508036764827003,50000000000000000000000,55,59,60000000000000000,0xe908bcfb03823901504d64523302e0f17cf41b2c73cb0730498f1a881eaafd9a
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 10:37:47,0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,52719508036764827003,50110099401590504094193,55,59,60000000000000000,0xb11dcf79330861595cee9b2c2af296229dfe60009d55e16275d9a81e97c2b78d
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 16:45:59,0xb04e51df952ed99e57367b99790fadf525413d40,9623291958708673682,10000000000000000000000,44,53,60000000000000000,0x9eb9bff2ae8783151f65d3fd6e872d81b7cace44a78f094e59f486519bf74232
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 16:55:59,0x2326d4fb2737666dda96bd6314e3d4418246cfe8,961374324785718784,1000000000000000000000,44,53,60000000000000000,0x24a7dcb26700f4553f9b753fce6d9686b5c3058307a59a74c41f73dd5a173fa4
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:05:35,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,4950000000000000000,6003274590294646005595,26,40,60000000000000000,0x58afb673b0cb9e1d42a99950879e355f2187be108d1ca1b806438953793c5c55
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:17:35,0xb04e51df952ed99e57367b99790fadf525413d40,9623291958708673682,16092722423764638,1014,1023,60000000000000000,0xabef03c60a53b225f8a3c34d41e22046851eb2aff4b6f9e529bb6fbd00fb37b4
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:21:23,0xb04e51df952ed99e57367b99790fadf525413d40,11958708673682,16092724992943203,18,27,60000000000000000,0x95e1b081a8680905d26f1968d195aec50800e0c4c69b0c3239b4e5a725bbf307
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 17:40:23,0x3c80a011d6dc046c46304c456e7f713e2efe2541,50000000000000000000,82274234429000333408891,1,5,60000000000000000,0x794d694ba89b8fd716f96a70b8d1a2c83789683c0659b228b1dc2f1756ca13bd
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 20:20:23,0x3c80a011d6dc046c46304c456e7f713e2efe2541,50000000000000000000,83945417276476654699851,-1,3,60000000000000000,0xc7e4f22deb8ba8a188e5067db08418ab802c2df7df01f7ff97511088b7479b37
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 21:50:47,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,6003345905948652211064,44,58,60000000000000000,0x571db63eadadae9ba17e0977d35165f8d6f0b21c4155b9437cd52a600456bce1
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 22:00:23,0x2326d4fb2737666dda96bd6314e3d4418246cfe8,961374324785718784,12686307744881868,1012,1021,60000000000000000,0xdf771bdc3e7f1b63b03736714c9e3beed70d48dfb635c398274b7da1b54bbe6b
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 22:02:35,0x2326d4fb2737666dda96bd6314e3d4418246cfe8,14324785718784,12686308927344585,60,69,60000000000000000,0x077684200e3ed4fa9332048708772ae479a8be54b9fd2ff7044e9c738f4d0c2c
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-17 22:08:11,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,8503350330001213072133,10,24,60000000000000000,0x6ddb3d09c331f8bb903d2a6ec66cc93fba046c26e8dfd99ca984a7fd76d69d4d
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:07:23,0x4d794f31fb3e6987d9875d33d84515b1b869200a,9612766658002989776,15000000000000000000000,3,12,60000000000000000,0x1a3c538ee5ed608c74458126b79a9a9e88174e03cd70c042f808cff9a5867794
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:34:35,0x358506b4c5c441873ade429c5a2be777578e2c6f,96129863771648155,100000000000000000000,44,53,60000000000000000,0x87014225d331f0ecd8a44d1a86a55c6fbf3e183396ecffb6fe0dc95b12ebd289
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:47:35,0x284a6c14ba3c6741ecd7cf4c76a7edf157dfc052,669016944416829237,1100000000000000000000,1,5,60000000000000000,0x463d5ecad8cfba274d69c53eaf67e8c3428b9ad7bd6d173caf6de40a28d87c32
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 01:52:11,0x284a6c14ba3c6741ecd7cf4c76a7edf157dfc052,1248443862914114571,1600000218539361777237,25,29,60000000000000000,0xe452b125c886ec08d818c3176d1f1a493734c9d420ffcd62161050a3f1b7dc7b
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 02:54:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,5316068558467862464,8500000000000000000000,1,10,60000000000000000,0xfc271eaebb2b7181b3809c7f735ab57b0f55bdbef0cca2fea409c5e2d611896e
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:01:59,0xe057e6386047c690f6d2804ecd61e68441774bbc,97051725164389160745,100000000000000000000000,45,54,60000000000000000,0x873acb724c22fb8a9da29fe4c516a2c486f0b525a110c1abb5b874c6ba38d052
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:06:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,9782242547739663810,8500004426176518634593,62,71,60000000000000000,0xb1d204fd37dbad7df5e93a7c687af30eb02af2025b31be67155b8e6cf943ad19
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:09:23,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,9782242547739663810,15500005712914648196071,2,11,60000000000000000,0x965d330e5a7e76d176a221948c5f417f97f0167ebd25ba71e99279bc209a9dec
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-18 03:38:11,0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,18625729904811586596,15500026839042355961017,66,75,60000000000000000,0x27838d3ffc16778f5ed16020e9e3fbd17dff46c7485573086a05695446fbfcb1
